"Url","Sold","Auction Date","Title","Distillery","Region","Strength","Distillery Status","Cask Type","Currency","Bulk Litres","Rla","Filling Date","Cask Filling","Previous Spirit","Regauged Date","Age","Bottles At Cask Strength","Buyer Price","Price Per Bottle At Cask Strength","Price Per Litre Of Alcohol","Country","Auction House"
"https://whiskyauctioneer.com/lot/1224-01/cask-port-charlotte-2004-fresh-bourbon-barrel-893-stored-bruichladdich",TRUE,"06/01/2025","Port Charlotte 2004 Fresh Bourbon Barrel","Bruichladdich","Islay","50.4","Operational","Barrel","Great Britain Pound (£)","148.61","74.9","15/07/2004","First Fill","Bourbon","01/10/2024","20.48","212.3","20812.5","87.14","277.87","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/1124-02a/cask-adnams-2011-jack-daniels-barrel-x15-stored-cadus-vaults",FALSE,"06/01/2025","Adnams 201Jack Daniel's Barrel","Copper House","England","64.8","Operational","Barrel","Great Britain Pound (£)","115.4","74.78","07/10/2011",NA,"Bourbon","01/10/2024","13.25","164.86","1125","6.07","15.04","England","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/1124-01a/cask-adnams-2015-french-oak-cask-496-stored-cadus-vaults",FALSE,"06/01/2025","Adnams 2015 French Oak Cask","Copper House","England","64.29","Operational",NA,"Great Britain Pound (£)","173.58","111.59","15/07/2015",NA,NA,"01/10/2024","9.48","247.97","1125","4.03","10.08","England","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/1124-01/cask-copper-house-2015-french-oak-cask-496-stored-cadus-vaults",FALSE,"02/12/2024","Copper House 2015 French Oak Cask","Copper House","England","64.29","Operational",NA,"Great Britain Pound (£)","173.58","111.59","15/07/2015",NA,NA,"01/10/2024","9.39","247.97","281.25","1.01","2.52","England","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0824-05a/cask-bruichladdich-2002-climens-hogshead-460-stored-bruichladdich",TRUE,"02/12/2024","Bruichladdich 2002 Climens Hogshead","Bruichladdich","Islay","53.1","Operational","Hogshead","Great Britain Pound (£)","217.14","115.3",NA,NA,"Wine","01/06/2024",NA,"310.2","24187.5","69.31","209.78","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/1124-03/cask-tobermory-1994-hogshead-381012-stored-deanston",FALSE,"02/12/2024","Tobermory 1994 Hogshead","Tobermory","Islands","50.9","Operational","Hogshead","Great Britain Pound (£)","141.84","72.2","12/11/1994",NA,NA,"12/11/2024","30.06","202.63","25312.5","111.04","350.59","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0724-02b/cask-laphroaig-1998-butt-700042-stored-edrington",FALSE,"02/12/2024","Laphroaig 1998 Butt","Laphroaig","Islay","56.8","Operational","Butt","Great Britain Pound (£)","295","167.56","25/03/1998",NA,"Scotch Whisky","01/07/2024","26.69","421.43","67500","142.37","402.84","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/1124-02/cask-copper-house-2011-jack-daniels-barrel-x15-stored-cadus-vaults",FALSE,"02/12/2024","Copper House 201Jack Daniel's Barrel","Copper House","England","64.8","Operational","Barrel","Great Britain Pound (£)","115.4","74.78","07/10/2011",NA,"Bourbon","01/10/2024","13.16","164.86","1125","6.07","15.04","England","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0724-02a/cask-laphroaig-1998-butt-700042-stored-edrington",FALSE,"07/10/2024","Laphroaig 1998 Butt","Laphroaig","Islay","56.8","Operational","Butt","Great Britain Pound (£)","295","167.56","25/03/1998",NA,"Scotch Whisky","01/07/2024","26.54","421.43","101250","213.56","604.26","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0924-01/cask-dailuaine-2008-refill-bourbon-hogshead-90065091-stored-lowland-bond",FALSE,"07/10/2024","Dailuaine 2008 Refill Bourbon Hogshead","Dailuaine","Speyside","59.3","Operational","Hogshead","Great Britain Pound (£)","212.02","125.73","18/12/2008","Second Fill","Bourbon","01/07/2024","15.8","302.89","3906","11.46","31.07","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0924-02/cask-dailuaine-2016-refill-bourbon-hogshead-305297-stored-lowland-bond",FALSE,"07/10/2024","Dailuaine 2016 Refill Bourbon Hogshead","Dailuaine","Islay","61","Operational","Hogshead","Great Britain Pound (£)","200","122","19/05/2016","Second Fill","Bourbon","01/07/2024","8.39","285.71","1968.75","6.13","16.14","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0924-03/cask-port-dundas-2009-bourbon-hogshead-728279-stored-lowland-bond",FALSE,"07/10/2024","Port Dundas 2009 Bourbon Hogshead","Port Dundas","Lowlands","63.8","Closed","Hogshead","Great Britain Pound (£)","212.5","135.57","16/11/2009",NA,"Bourbon","01/07/2024","14.89","303.57","2362.5","6.92","17.43","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0924-04/cask-glenrothes-2016-refill-bourbon-hogshead-8259-stored-lowland-bond",FALSE,"07/10/2024","Glenrothes 2016 Refill Bourbon Hogshead","Glenrothes","Speyside","66.8","Operational","Hogshead","Great Britain Pound (£)","240.87","160.9","01/09/2016","Second Fill","Bourbon","01/07/2024","8.1","344.1","3543.75","9.15","22.02","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0324-01b/cask-bruichladdich-2005-fresh-bourbon-barrel-396-stored-bruichladdich",FALSE,"07/10/2024","Bruichladdich 2005 Fresh Bourbon Barrel","Bruichladdich","Islay","60.6","Operational","Barrel","Great Britain Pound (£)","138.45","83.9","01/06/2005","First Fill","Bourbon",NA,"19.35","197.79","16312.5","73.31","194.43","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0524-03a/cask-jura-2009-hogshead-103352-stored-invergordon",FALSE,"09/09/2024","Jura 2009 Hogshead","Jura","Islands","57.52","Operational","Hogshead","Great Britain Pound (£)","131.43","75.6","15/04/2009",NA,NA,"01/05/2024","15.4","187.76","8437.5","39.94","111.61","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0824-01/cask-ardmore-1998-hogshead-750723-stored-whisky-broker",FALSE,"09/09/2024","Ardmore 1998 Hogshead","Ardmore","Highlands","50.9","Operational","Hogshead","Great Britain Pound (£)","146.85","74.75","27/05/1998",NA,NA,NA,"26.29","209.79","16875","71.5","225.75","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0824-02/cask-heaven-hill-2009-barrel-3440943-stored-inveralmond-bond",TRUE,"09/09/2024","Heaven Hill 2009 Barrel","Heaven Hill Bernheim","Kentucky, USA","66.4","Operational","Barrel","Great Britain Pound (£)","158.3","105.11",NA,NA,"Bourbon",NA,NA,"226.14","10237.5","40.24","97.4","USA","WhiskyAuctioneer"
