"auction_date","distillery","region","country","strength","rla","bulk_litres","distillery_status","cask_type","cask_filling","previous_spirit","age","bottles_at_cask_strength","volume_12m","volume_6m","volume_3m","inf_adj_hammer_price","inf_adj_hammer_price_per_bottle_at_cask_strength","inf_adj_hammer_price_per_litre_of_alcohol","inf_adj_hammer_price_per_litre_of_alcohol_per_age","inf_adj_hammer_price_per_age"
"2025-01-06","Bruichladdich","Islay","Scotland","50.4",74.9,"148.61","Operational","Barrel","First Fill","Bourbon",20,212.3,105,63,26,19060.19,89.78,254.48,12.72,953.01
"2025-01-06","Copper House","England","England","64.8",74.78,"115.4","Operational","Barrel",NA,"Bourbon",13,164.86,105,63,26,1030.28,6.25,13.78,1.06,79.25
"2025-01-06","Copper House","England","England","64.29",111.59,"173.58","Operational",NA,NA,NA,9,247.97,105,63,26,1030.28,4.15,9.23,1.03,114.48
"2024-12-02","Copper House","England","England","64.29",111.59,"173.58","Operational",NA,NA,NA,9,247.97,132,70,45,257.19,1.04,2.3,0.26,28.58
"2024-12-02","Bruichladdich","Islay","Scotland","53.1",115.3,"217.14","Operational","Hogshead",NA,"Wine",NA,310.2,132,70,45,22118.36,71.3,191.83,NA,NA
"2024-12-02","Tobermory","Islands","Scotland","50.9",72.2,"141.84","Operational","Hogshead",NA,NA,30,202.63,132,70,45,23147.12,114.23,320.6,10.69,771.57
"2024-12-02","Laphroaig","Islay","Scotland","56.8",167.56,"295","Operational","Butt",NA,NA,26,421.43,132,70,45,61725.66,146.47,368.38,14.17,2374.06
"2024-12-02","Copper House","England","England","64.8",74.78,"115.4","Operational","Barrel",NA,"Bourbon",13,164.86,132,70,45,1028.76,6.24,13.76,1.06,79.14
"2024-10-07","Laphroaig","Islay","Scotland","56.8",167.56,"295","Operational","Butt",NA,NA,26,421.43,124,67,37,93000,220.68,555.03,21.35,3576.92
"2024-10-07","Dailuaine","Speyside","Scotland","59.3",125.73,"212.02","Operational","Hogshead","Second Fill","Bourbon",15,302.89,124,67,37,3587.73,11.84,28.54,1.9,239.18
"2024-10-07","Dailuaine","Islay","Scotland","61",122,"200","Operational","Hogshead","Second Fill","Bourbon",8,285.71,124,67,37,1808.33,6.33,14.82,1.85,226.04
"2024-10-07","Port Dundas","Lowlands","Scotland","63.8",135.57,"212.5","Closed","Hogshead",NA,"Bourbon",14,303.57,124,67,37,2170,7.15,16.01,1.14,155
"2024-10-07","Glenrothes","Speyside","Scotland","66.8",160.9,"240.87","Operational","Hogshead","Second Fill","Bourbon",8,344.1,124,67,37,3255,9.46,20.23,2.53,406.88
"2024-10-07","Bruichladdich","Islay","Scotland","60.6",83.9,"138.45","Operational","Barrel","First Fill","Bourbon",19,197.79,124,67,37,14983.33,75.75,178.59,9.4,788.6
"2024-09-09","Jura","Islands","Scotland","57.52",75.6,"131.43","Operational","Hogshead",NA,NA,15,187.76,100,45,25,7796.2,41.52,103.12,6.87,519.75
"2024-09-09","Ardmore","Highlands","Scotland","50.9",74.75,"146.85","Operational","Hogshead",NA,NA,26,209.79,100,45,25,15592.4,74.32,208.59,8.02,599.71
"2024-09-09","Heaven Hill Bernheim","Kentucky, USA","USA","66.4",105.11,"158.3","Operational","Barrel",NA,"Bourbon",NA,226.14,100,45,25,9459.39,41.83,90,NA,NA
"2024-09-09","Heaven Hill Bernheim","Kentucky, USA","USA","65.6",96.96,"147.8","Operational","Barrel",NA,"Bourbon",NA,211.14,100,45,25,9147.54,43.32,94.34,NA,NA
